plant_index,raw_mpbd_name,name_pattern,bmpdd_query_name,query_source,query_status,transformation_notes
32,Entada phaseoloides (L.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Entada phaseoloides,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
33,Mimosa pudica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mimosa pudica,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
34,Saraca asoca (Roxb.) Wild.,BINOMIAL_PARENTHETICAL_AUTHORITY,Saraca asoca,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
35,Clitoria ternatea L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Clitoria ternatea,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
36,Glycyrrhiza glabra L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Glycyrrhiza glabra,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
37,Mucuna pruriens (L.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Mucuna pruriens,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
38,Pterocarpus SANTALINUS L. f.,MULTI_AUTHOR_OR_COMPLEX,Pterocarpus SANTALINUS,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
39,Sesbania bispinosa (Jacq.) W.Wight,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania bispinosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
40,Sesbania grandiflora (L.) Poir,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania grandiflora,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
41,Sesbania sesban (L.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania sesban,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
42,Trigonella foenum-graeceum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Trigonella foenum-graeceum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
43,Lagerstroemia speciosa(l.) Pers.,BINOMIAL_PARENTHETICAL_AUTHORITY,Lagerstroemia speciosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
44,Eucalyptus globulus Labill,SIMPLE_BINOMIAL_WITH_AUTHORITY,Eucalyptus globulus,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
45,Mentha arvensis L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mentha arvensis,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
46,Mentha spicata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mentha spicata,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
47,Pogostemon PUBESCENS Benth.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Pogostemon PUBESCENS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
48,Rhinacanthus nasutus (L.) Kurz,BINOMIAL_PARENTHETICAL_AUTHORITY,Rhinacanthus nasutus,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
49,Sesamum indicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sesamum indicum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
50,Nelumbium speciosum Willd.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Nelumbium speciosum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
51,Rubia cordifolia L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Rubia cordifolia,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
52,Artemisia absinthium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Artemisia absinthium,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
53,Eclipta prostrata (L.) L.,BINOMIAL_PARENTHETICAL_AUTHORITY,Eclipta prostrata,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
54,Cyperus rotandus L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Cyperus rotandus,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
55,Saccharum officinarum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Saccharum officinarum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
56,Hordeum vulgare L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Hordeum vulgare,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
57,Elettaria cardamomum (L.) Maton.,BINOMIAL_PARENTHETICAL_AUTHORITY,Elettaria cardamomum,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
58,Crocus sativus L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Crocus sativus,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
59,Santalum album L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Santalum album,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
60,Macaranga peltata (Roxb.)Muell.-Arg.,BINOMIAL_PARENTHETICAL_AUTHORITY,Macaranga peltata,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
61,Mallotus philippensis (Lam.) Muell.-Arg.,BINOMIAL_PARENTHETICAL_AUTHORITY,Mallotus philippensis,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
62,Phyllanthus niruri L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Phyllanthus niruri,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
63,Vitis vinifera L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitis vinifera,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
64,Sapindus saponaria L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sapindus saponaria,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
65,Schleichera oleosa (Lour.)Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Schleichera oleosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
66,Commiphora mukul (HOOK. EX STOCKS) ENGL.,BINOMIAL_PARENTHETICAL_AUTHORITY,Commiphora mukul,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
67,Semecarpus anacardium L. F.,MULTI_AUTHOR_OR_COMPLEX,Semecarpus anacardium,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
68,Citrus limon (L.) Osbeck,BINOMIAL_PARENTHETICAL_AUTHORITY,Citrus limon,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
69,Citrus medica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Citrus medica,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
70,Citrus reticulata Blanco,SIMPLE_BINOMIAL_WITH_AUTHORITY,Citrus reticulata,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
71,Murraya koenigii (L.)Spreng.,BINOMIAL_PARENTHETICAL_AUTHORITY,Murraya koenigii,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
72,Peganum harmala L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Peganum harmala,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
73,Anethum sowa Roxb.ex Fleming,MULTI_AUTHOR_OR_COMPLEX,Anethum sowa,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
74,Carum carvi L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Carum carvi,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
75,Ferula foetida (Bunge) Regel,BINOMIAL_PARENTHETICAL_AUTHORITY,Ferula foetida,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
76,Trachyspermum roxburghianum (DC.) H.Wolff,BINOMIAL_PARENTHETICAL_AUTHORITY,Trachyspermum roxburghianum,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
77,Strychnos potatorum L. f.,MULTI_AUTHOR_OR_COMPLEX,Strychnos potatorum,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
78,Holarrhena pubescens Wall.ex G.Don,MULTI_AUTHOR_OR_COMPLEX,Holarrhena pubescens,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
79,Tabernamontana divaricata (L.)R.Br. ex Roem.& Schult.,BINOMIAL_PARENTHETICAL_AUTHORITY,Tabernamontana divaricata,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
80,Wrightia tinctoria R. Brown,MULTI_AUTHOR_OR_COMPLEX,Wrightia tinctoria,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
81,Gymnema sylvestre (Retz.)R.Br. ex Sm.,BINOMIAL_PARENTHETICAL_AUTHORITY,Gymnema sylvestre,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
82,Atropa belladonna L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Atropa belladonna,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
83,Datura stramonium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Datura stramonium,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
84,Solanum lycopersicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Solanum lycopersicum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
85,Solanum indicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Solanum indicum,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
86,Ipomoea nil (L.) Roth,BINOMIAL_PARENTHETICAL_AUTHORITY,Ipomoea nil,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
87,Gmelina arborea Roxb.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Gmelina arborea,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
88,Premna serratifolia L..,SIMPLE_BINOMIAL_WITH_AUTHORITY,Premna serratifolia,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
89,Sapindus SAPONARIA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sapindus SAPONARIA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
90,Schleichera oleosa (Lour.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Schleichera oleosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
91,Abelmoschus ESCULENTUS (L.) Moench,BINOMIAL_PARENTHETICAL_AUTHORITY,Abelmoschus ESCULENTUS,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
92,Abelmoschus MOSCHATUS Medik.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Abelmoschus MOSCHATUS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
93,Abroma AUGUSTA (L.) L.f.,BINOMIAL_PARENTHETICAL_AUTHORITY,Abroma AUGUSTA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
94,Abrus PRECATORIUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Abrus PRECATORIUS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
95,Abutilon INDICUM (L.) Sweet,BINOMIAL_PARENTHETICAL_AUTHORITY,Abutilon INDICUM,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
96,Acacia CATECHU (L.f.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia CATECHU,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
97,Acacia FARNESIANA (L.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia FARNESIANA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
98,Acacia NILOTICA (L.) Willd. ex Del. ssp. INDICA (Benth.) Brenan.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia NILOTICA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
99,Acacia PENNATA (L.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia PENNATA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
100,Acacia concinna (WILLD.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia concinna,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
101,Acalypha INDICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acalypha INDICA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
102,Acampe praemorsa (Roxb.) Blatt. & McCann,BINOMIAL_PARENTHETICAL_AUTHORITY,Acampe praemorsa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
103,Acanthus ILICIFOLIUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acanthus ILICIFOLIUS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
104,Achyranthes ASPERA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Achyranthes ASPERA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
105,Acorus CALAMUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acorus CALAMUS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
106,Acronychia PEDUNCULATA (L.) Miq.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acronychia PEDUNCULATA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
107,Actinodaphne gullavara (Buch.-Ham. ex Nees) M.R.Almeida,BINOMIAL_PARENTHETICAL_AUTHORITY,Actinodaphne gullavara,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
108,Adenanthera PAVONINA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adenanthera PAVONINA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
109,Justicia adhatoda L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Justicia adhatoda,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
110,Adiantum capillus-veneris L,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adiantum capillus-veneris,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
111,Adiantum INCISUM Forssk.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adiantum INCISUM,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
112,Adiantum LUNULATUM Burm. F.,MULTI_AUTHOR_OR_COMPLEX,Adiantum LUNULATUM,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
113,Haldina cordifolia (Roxb.) Ridsdale,BINOMIAL_PARENTHETICAL_AUTHORITY,Haldina cordifolia,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
114,Aegle MARMELOS (L.) Corr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Aegle MARMELOS,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
115,Aganosma DICHOTOMA (Roth) K. Schum.,BINOMIAL_PARENTHETICAL_AUTHORITY,Aganosma DICHOTOMA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
116,Ageratum CONYZOIDES L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ageratum CONYZOIDES,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
117,Alangium SALVIFOLIUM (L. f.) Wang.,BINOMIAL_PARENTHETICAL_AUTHORITY,Alangium SALVIFOLIUM,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
118,Albizia CHINENSIS (Osbeck) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia CHINENSIS,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
119,Albizzia LEBBECK (L.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizzia LEBBECK,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
120,Albizia ODORATISSIMA (L. f.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia ODORATISSIMA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
121,Albizia PROCERA (Roxb.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia PROCERA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
122,Allamanda CATHARTICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allamanda CATHARTICA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
123,Allium CEPA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allium CEPA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
124,Allium SATIVUM L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allium SATIVUM,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
125,Ziziphus RUGOSA Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ziziphus RUGOSA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
126,Zizyphus oenoplia Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zizyphus oenoplia,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
127,Ziziphus jujuba Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ziziphus jujuba,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
128,Zingiber ZERUMBET (L.) Roscoe ex Sm.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zingiber ZERUMBET,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
129,Zingiber OFFICINALE Rose.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zingiber OFFICINALE,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
130,Zingiber MONTANUM (Koenig) Dietrich.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zingiber MONTANUM,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
131,Zeuxine STRATEUMATICA Schlechter.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zeuxine STRATEUMATICA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
132,Zea MAYS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zea MAYS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
133,Zanthoxylum RHETSA (Roxb.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zanthoxylum RHETSA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
134,Zanthoxylum NITIDUM (Roxb.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zanthoxylum NITIDUM,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
135,Zanonia INDICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zanonia INDICA,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
136,Xylyocarpus MOLUCCENSIS (Lam.) M.Roem.,BINOMIAL_PARENTHETICAL_AUTHORITY,Xylyocarpus MOLUCCENSIS,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
137,Xylocarpus GRANATUM Koen.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Xylocarpus GRANATUM,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
138,Tamilnadia uliginosa (Retz.) Tirveng. & Sastre,BINOMIAL_PARENTHETICAL_AUTHORITY,Tamilnadia uliginosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
139,Catunaregam spinosa (Thunb.) Tirveng.,BINOMIAL_PARENTHETICAL_AUTHORITY,Catunaregam spinosa,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
140,Xanthium strumarium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Xanthium strumarium,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
141,Wrightia ARBOREA (Dennst.) Mabb.,BINOMIAL_PARENTHETICAL_AUTHORITY,Wrightia ARBOREA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
142,Woodfordia FRUTICOSA (L.) Kurz.,BINOMIAL_PARENTHETICAL_AUTHORITY,Woodfordia FRUTICOSA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
143,Withania SOMNIFERA (L.) Dunal.,BINOMIAL_PARENTHETICAL_AUTHORITY,Withania SOMNIFERA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
144,Wikstroemia INDICA (L.) C.A. Mey.,BINOMIAL_PARENTHETICAL_AUTHORITY,Wikstroemia INDICA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
145,Sphagneticola calendulacea (L.) Pruski.,BINOMIAL_PARENTHETICAL_AUTHORITY,Sphagneticola calendulacea,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
146,Dregea volubilis (L.f.) Benth. ex Hook.f.,BINOMIAL_PARENTHETICAL_AUTHORITY,Dregea volubilis,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
147,Vitis PENTAGONA (Roxb.) Lawson.,BINOMIAL_PARENTHETICAL_AUTHORITY,Vitis PENTAGONA,OFFLINE_RULE,READY,Preserved clean binomial preceding parenthetical basionym author citation.
148,Vitex TRIFOLIA L. f.,MULTI_AUTHOR_OR_COMPLEX,Vitex TRIFOLIA,OFFLINE_RULE,READY,Preserved genus and species epithet; stripped multi-word/compound author citation.
149,Vitex pinnata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitex pinnata,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
150,Vitex PEDUNCULARIS Wall.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitex PEDUNCULARIS,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
151,Vitex NEGUNDO L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitex NEGUNDO,OFFLINE_RULE,READY,Removed single botanical author abbreviation suffix.
