plant_index,raw_scientific_name,name_pattern,candidate_bmppd_query,candidate_status,transformation_notes
25,Brassica juncea (L.) Czern.,BINOMIAL_PARENTHETICAL_AUTHORITY,Brassica juncea,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
26,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,INFRASPECIFIC_SUBSP,Raphanus raphanistrum subsp. SATIVUS,SAFE_CANDIDATE,"Preserved species binomial, subsp. rank, and infraspecific epithet; stripped parenthetical/combining authors."
27,Moringa oleifera Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Moringa oleifera,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
28,Diospyros malabarica(desr.) Kostel.,BINOMIAL_PARENTHETICAL_AUTHORITY,Diospyros malabarica,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
29,Cydonia oblonga Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Cydonia oblonga,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
30,Prunus amygdalus Stokes,SIMPLE_BINOMIAL_WITH_AUTHORITY,Prunus amygdalus,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
31,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,INFRASPECIFIC_SUBSP,Acacia nilotica subsp. INDICA,SAFE_CANDIDATE,"Preserved species binomial, subsp. rank, and infraspecific epithet; stripped parenthetical/combining authors."
32,Entada phaseoloides (L.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Entada phaseoloides,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
33,Mimosa pudica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mimosa pudica,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
34,Saraca asoca (Roxb.) Wild.,BINOMIAL_PARENTHETICAL_AUTHORITY,Saraca asoca,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
35,Clitoria ternatea L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Clitoria ternatea,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
36,Glycyrrhiza glabra L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Glycyrrhiza glabra,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
37,Mucuna pruriens (L.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Mucuna pruriens,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
38,Pterocarpus SANTALINUS L. f.,MULTI_AUTHOR_OR_COMPLEX,Pterocarpus SANTALINUS,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
39,Sesbania bispinosa (Jacq.) W.Wight,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania bispinosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
40,Sesbania grandiflora (L.) Poir,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania grandiflora,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
41,Sesbania sesban (L.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Sesbania sesban,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
42,Trigonella foenum-graeceum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Trigonella foenum-graeceum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
43,Lagerstroemia speciosa(l.) Pers.,BINOMIAL_PARENTHETICAL_AUTHORITY,Lagerstroemia speciosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
44,Eucalyptus globulus Labill,SIMPLE_BINOMIAL_WITH_AUTHORITY,Eucalyptus globulus,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
45,Mentha arvensis L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mentha arvensis,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
46,Mentha spicata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Mentha spicata,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
47,Pogostemon PUBESCENS Benth.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Pogostemon PUBESCENS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
48,Rhinacanthus nasutus (L.) Kurz,BINOMIAL_PARENTHETICAL_AUTHORITY,Rhinacanthus nasutus,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
49,Sesamum indicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sesamum indicum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
50,Nelumbium speciosum Willd.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Nelumbium speciosum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
51,Rubia cordifolia L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Rubia cordifolia,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
52,Artemisia absinthium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Artemisia absinthium,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
53,Eclipta prostrata (L.) L.,BINOMIAL_PARENTHETICAL_AUTHORITY,Eclipta prostrata,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
54,Cyperus rotandus L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Cyperus rotandus,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
55,Saccharum officinarum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Saccharum officinarum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
56,Hordeum vulgare L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Hordeum vulgare,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
57,Elettaria cardamomum (L.) Maton.,BINOMIAL_PARENTHETICAL_AUTHORITY,Elettaria cardamomum,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
58,Crocus sativus L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Crocus sativus,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
59,Santalum album L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Santalum album,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
60,Macaranga peltata (Roxb.)Muell.-Arg.,BINOMIAL_PARENTHETICAL_AUTHORITY,Macaranga peltata,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
61,Mallotus philippensis (Lam.) Muell.-Arg.,BINOMIAL_PARENTHETICAL_AUTHORITY,Mallotus philippensis,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
62,Phyllanthus niruri L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Phyllanthus niruri,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
63,Vitis vinifera L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitis vinifera,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
64,Sapindus saponaria L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sapindus saponaria,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
65,Schleichera oleosa (Lour.)Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Schleichera oleosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
66,Commiphora mukul (HOOK. EX STOCKS) ENGL.,BINOMIAL_PARENTHETICAL_AUTHORITY,Commiphora mukul,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
67,Semecarpus anacardium L. F.,MULTI_AUTHOR_OR_COMPLEX,Semecarpus anacardium,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
68,Citrus limon (L.) Osbeck,BINOMIAL_PARENTHETICAL_AUTHORITY,Citrus limon,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
69,Citrus medica L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Citrus medica,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
70,Citrus reticulata Blanco,SIMPLE_BINOMIAL_WITH_AUTHORITY,Citrus reticulata,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
71,Murraya koenigii (L.)Spreng.,BINOMIAL_PARENTHETICAL_AUTHORITY,Murraya koenigii,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
72,Peganum harmala L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Peganum harmala,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
73,Anethum sowa Roxb.ex Fleming,MULTI_AUTHOR_OR_COMPLEX,Anethum sowa,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
74,Carum carvi L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Carum carvi,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
75,Ferula foetida (Bunge) Regel,BINOMIAL_PARENTHETICAL_AUTHORITY,Ferula foetida,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
76,Trachyspermum roxburghianum (DC.) H.Wolff,BINOMIAL_PARENTHETICAL_AUTHORITY,Trachyspermum roxburghianum,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
77,Strychnos potatorum L. f.,MULTI_AUTHOR_OR_COMPLEX,Strychnos potatorum,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
78,Holarrhena pubescens Wall.ex G.Don,MULTI_AUTHOR_OR_COMPLEX,Holarrhena pubescens,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
79,Tabernamontana divaricata (L.)R.Br. ex Roem.& Schult.,BINOMIAL_PARENTHETICAL_AUTHORITY,Tabernamontana divaricata,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
80,Wrightia tinctoria R. Brown,MULTI_AUTHOR_OR_COMPLEX,Wrightia tinctoria,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
81,Gymnema sylvestre (Retz.)R.Br. ex Sm.,BINOMIAL_PARENTHETICAL_AUTHORITY,Gymnema sylvestre,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
82,Atropa belladonna L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Atropa belladonna,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
83,Datura stramonium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Datura stramonium,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
84,Solanum lycopersicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Solanum lycopersicum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
85,Solanum indicum L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Solanum indicum,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
86,Ipomoea nil (L.) Roth,BINOMIAL_PARENTHETICAL_AUTHORITY,Ipomoea nil,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
87,Gmelina arborea Roxb.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Gmelina arborea,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
88,Premna serratifolia L..,SIMPLE_BINOMIAL_WITH_AUTHORITY,Premna serratifolia,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
89,Sapindus SAPONARIA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Sapindus SAPONARIA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
90,Schleichera oleosa (Lour.) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Schleichera oleosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
91,Abelmoschus ESCULENTUS (L.) Moench,BINOMIAL_PARENTHETICAL_AUTHORITY,Abelmoschus ESCULENTUS,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
92,Abelmoschus MOSCHATUS Medik.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Abelmoschus MOSCHATUS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
93,Abroma AUGUSTA (L.) L.f.,BINOMIAL_PARENTHETICAL_AUTHORITY,Abroma AUGUSTA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
94,Abrus PRECATORIUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Abrus PRECATORIUS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
95,Abutilon INDICUM (L.) Sweet,BINOMIAL_PARENTHETICAL_AUTHORITY,Abutilon INDICUM,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
96,Acacia CATECHU (L.f.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia CATECHU,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
97,Acacia FARNESIANA (L.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia FARNESIANA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
98,Acacia NILOTICA (L.) Willd. ex Del. ssp. INDICA (Benth.) Brenan.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia NILOTICA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
99,Acacia PENNATA (L.) Willd.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia PENNATA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
100,Acacia concinna (WILLD.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acacia concinna,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
101,Acalypha INDICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acalypha INDICA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
102,Acampe praemorsa (Roxb.) Blatt. & McCann,BINOMIAL_PARENTHETICAL_AUTHORITY,Acampe praemorsa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
103,Acanthus ILICIFOLIUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acanthus ILICIFOLIUS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
104,Achyranthes ASPERA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Achyranthes ASPERA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
105,Acorus CALAMUS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Acorus CALAMUS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
106,Acronychia PEDUNCULATA (L.) Miq.,BINOMIAL_PARENTHETICAL_AUTHORITY,Acronychia PEDUNCULATA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
107,Actinodaphne gullavara (Buch.-Ham. ex Nees) M.R.Almeida,BINOMIAL_PARENTHETICAL_AUTHORITY,Actinodaphne gullavara,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
108,Adenanthera PAVONINA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adenanthera PAVONINA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
109,Justicia adhatoda L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Justicia adhatoda,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
110,Adiantum capillus-veneris L,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adiantum capillus-veneris,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
111,Adiantum INCISUM Forssk.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Adiantum INCISUM,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
112,Adiantum LUNULATUM Burm. F.,MULTI_AUTHOR_OR_COMPLEX,Adiantum LUNULATUM,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
113,Haldina cordifolia (Roxb.) Ridsdale,BINOMIAL_PARENTHETICAL_AUTHORITY,Haldina cordifolia,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
114,Aegle MARMELOS (L.) Corr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Aegle MARMELOS,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
115,Aganosma DICHOTOMA (Roth) K. Schum.,BINOMIAL_PARENTHETICAL_AUTHORITY,Aganosma DICHOTOMA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
116,Ageratum CONYZOIDES L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ageratum CONYZOIDES,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
117,Alangium SALVIFOLIUM (L. f.) Wang.,BINOMIAL_PARENTHETICAL_AUTHORITY,Alangium SALVIFOLIUM,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
118,Albizia CHINENSIS (Osbeck) Merr.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia CHINENSIS,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
119,Albizzia LEBBECK (L.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizzia LEBBECK,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
120,Albizia ODORATISSIMA (L. f.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia ODORATISSIMA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
121,Albizia PROCERA (Roxb.) Benth.,BINOMIAL_PARENTHETICAL_AUTHORITY,Albizia PROCERA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
122,Allamanda CATHARTICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allamanda CATHARTICA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
123,Allium CEPA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allium CEPA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
124,Allium SATIVUM L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Allium SATIVUM,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
125,Ziziphus RUGOSA Lam.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ziziphus RUGOSA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
126,Zizyphus oenoplia Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zizyphus oenoplia,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
127,Ziziphus jujuba Mill.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Ziziphus jujuba,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
128,Zingiber ZERUMBET (L.) Roscoe ex Sm.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zingiber ZERUMBET,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
129,Zingiber OFFICINALE Rose.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zingiber OFFICINALE,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
130,Zingiber MONTANUM (Koenig) Dietrich.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zingiber MONTANUM,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
131,Zeuxine STRATEUMATICA Schlechter.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zeuxine STRATEUMATICA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
132,Zea MAYS L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zea MAYS,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
133,Zanthoxylum RHETSA (Roxb.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zanthoxylum RHETSA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
134,Zanthoxylum NITIDUM (Roxb.) DC.,BINOMIAL_PARENTHETICAL_AUTHORITY,Zanthoxylum NITIDUM,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
135,Zanonia INDICA L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Zanonia INDICA,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
136,Xylyocarpus MOLUCCENSIS (Lam.) M.Roem.,BINOMIAL_PARENTHETICAL_AUTHORITY,Xylyocarpus MOLUCCENSIS,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
137,Xylocarpus GRANATUM Koen.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Xylocarpus GRANATUM,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
138,Tamilnadia uliginosa (Retz.) Tirveng. & Sastre,BINOMIAL_PARENTHETICAL_AUTHORITY,Tamilnadia uliginosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
139,Catunaregam spinosa (Thunb.) Tirveng.,BINOMIAL_PARENTHETICAL_AUTHORITY,Catunaregam spinosa,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
140,Xanthium strumarium L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Xanthium strumarium,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
141,Wrightia ARBOREA (Dennst.) Mabb.,BINOMIAL_PARENTHETICAL_AUTHORITY,Wrightia ARBOREA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
142,Woodfordia FRUTICOSA (L.) Kurz.,BINOMIAL_PARENTHETICAL_AUTHORITY,Woodfordia FRUTICOSA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
143,Withania SOMNIFERA (L.) Dunal.,BINOMIAL_PARENTHETICAL_AUTHORITY,Withania SOMNIFERA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
144,Wikstroemia INDICA (L.) C.A. Mey.,BINOMIAL_PARENTHETICAL_AUTHORITY,Wikstroemia INDICA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
145,Sphagneticola calendulacea (L.) Pruski.,BINOMIAL_PARENTHETICAL_AUTHORITY,Sphagneticola calendulacea,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
146,Dregea volubilis (L.f.) Benth. ex Hook.f.,BINOMIAL_PARENTHETICAL_AUTHORITY,Dregea volubilis,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
147,Vitis PENTAGONA (Roxb.) Lawson.,BINOMIAL_PARENTHETICAL_AUTHORITY,Vitis PENTAGONA,SAFE_CANDIDATE,Extracted clean genus and species epithet preceding parenthetical basionym author citation.
148,Vitex TRIFOLIA L. f.,MULTI_AUTHOR_OR_COMPLEX,Vitex TRIFOLIA,SAFE_CANDIDATE,Preserved first two tokens as binomial; stripped compound or multi-token author citation.
149,Vitex pinnata L.,SIMPLE_BINOMIAL_WITH_AUTHORITY,Vitex pinnata,SAFE_CANDIDATE,Removed single botanical author abbreviation suffix.
