inchikey_connectivity,split,n_records,median_pchembl,min_pchembl,max_pchembl,conflict_T6,conflict_T5,label_T6,label_T5
ADAAPCVTXUOYLW,training_pool,1,7.51,7.51,7.51,False,False,1.0,1.0
ADBHJTCBNSFXQH,training_pool,1,7.17,7.17,7.17,False,False,1.0,1.0
ADBXMSUPMFCBGS,training_pool,1,7.11,7.11,7.11,False,False,1.0,1.0
ADKQVMYWICSUOZ,training_pool,1,6.4,6.4,6.4,False,False,1.0,1.0
ADORMHQFWRYXJP,training_pool,1,5.34,5.34,5.34,False,False,0.0,1.0
ADPANZQEARRXOV,training_pool,1,4.71,4.71,4.71,False,False,0.0,0.0
ADPQNYHDJRDCEF,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
ADQQXCWNRYINLO,training_pool,1,5.79,5.79,5.79,False,False,0.0,1.0
ADUCABZHOQVMAT,training_pool,7,6.03,4.12,7.46,True,True,,
ADUDQKMQQHYYGO,training_pool,3,6.85,6.82,8.3,False,False,1.0,1.0
ADWAQIXMPIOWJO,training_pool,1,6.44,6.44,6.44,False,False,1.0,1.0
ADYCDQRKYSUEAJ,training_pool,1,7.33,7.33,7.33,False,False,1.0,1.0
AEALBEZJYDCIQP,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
AECYABHQXVFAKO,training_pool,1,6.37,6.37,6.37,False,False,1.0,1.0
AEHFELLNMGPWMT,training_pool,1,5.73,5.73,5.73,False,False,0.0,1.0
AEIGTKUKBWYPFQ,training_pool,3,7.37,5.77,7.38,True,False,,1.0
AEOWNQLDGCXORX,training_pool,1,7.28,7.28,7.28,False,False,1.0,1.0
AEYMEGDJFOGQLY,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
AFDMADPROREDQJ,training_pool,1,4.91,4.91,4.91,False,False,0.0,0.0
AFDMQCLJMGTNLE,training_pool,1,5.37,5.37,5.37,False,False,0.0,1.0
AFLRFJGTNJILSU,training_pool,2,6.16,6.16,6.16,False,False,1.0,1.0
AFLUUMVQPAIWBM,training_pool,1,8.22,8.22,8.22,False,False,1.0,1.0
AFONTALJVCJYHK,training_pool,2,5.805,5.23,6.38,True,False,,1.0
AGFFZHDTNWRYIP,training_pool,1,5.54,5.54,5.54,False,False,0.0,1.0
AGHWUXBXYDBENP,training_pool,1,4.17,4.17,4.17,False,False,0.0,0.0
AGIBPZYIAPZKDH,training_pool,1,6.72,6.72,6.72,False,False,1.0,1.0
AGMWTTAFEAXDFC,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
AGPADCZTLLHBPM,training_pool,1,5.08,5.08,5.08,False,False,0.0,1.0
AGRQYEVBCNOVSV,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
AGSCBZRFFRZCGJ,training_pool,1,4.79,4.79,4.79,False,False,0.0,0.0
AGSRHQZFLRAERS,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
AHEZYKGGUDUOBF,training_pool,1,6.51,6.51,6.51,False,False,1.0,1.0
AHGWAVMHPJUVTK,training_pool,1,5.18,5.18,5.18,False,False,0.0,1.0
AHIOUXABOCYPEI,training_pool,1,5.89,5.89,5.89,False,False,0.0,1.0
AHMLLEUEIJSJSU,training_pool,1,6.52,6.52,6.52,False,False,1.0,1.0
AHPNGADRGHAWED,training_pool,1,5.88,5.88,5.88,False,False,0.0,1.0
AHRMEDCMOGKIPB,training_pool,1,7.96,7.96,7.96,False,False,1.0,1.0
AIIQQIKNQVCJIA,training_pool,1,7.08,7.08,7.08,False,False,1.0,1.0
AIONSZQQDUCQHN,training_pool,1,7.19,7.19,7.19,False,False,1.0,1.0
AIORHDXVRJHMHR,training_pool,1,5.71,5.71,5.71,False,False,0.0,1.0
AIPDYBCWUMJJDC,training_pool,1,4.43,4.43,4.43,False,False,0.0,0.0
AIRAUYDAHZSVQQ,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
AIRFAHHXKVXYBE,training_pool,1,7.3,7.3,7.3,False,False,1.0,1.0
AIVQANJIFCWFLZ,training_pool,1,7.0,7.0,7.0,False,False,1.0,1.0
AJCQRGLTXZINTI,training_pool,1,4.16,4.16,4.16,False,False,0.0,0.0
AJELQFQQZDLADC,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
AJFTZWGGHJXZOB,training_pool,14,7.609999999999999,6.72,8.7,False,False,1.0,1.0
AJOWCZNUUCEEMV,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
AJUWJSDGDGYFBT,training_pool,1,6.04,6.04,6.04,False,False,1.0,1.0
AJWUYNHPDSBHFO,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
AJXDBFONDYHZFC,training_pool,1,5.23,5.23,5.23,False,False,0.0,1.0
AJYWXMJXJSEWLW,training_pool,1,7.31,7.31,7.31,False,False,1.0,1.0
AKDDYWDSHBNTAZ,training_pool,1,4.97,4.97,4.97,False,False,0.0,0.0
AKFSJAIZUSQWTP,training_pool,1,4.6,4.6,4.6,False,False,0.0,0.0
AKGGOFKXDGINAT,training_pool,1,4.39,4.39,4.39,False,False,0.0,0.0
AKHNCEKZUJRZFU,training_pool,1,7.16,7.16,7.16,False,False,1.0,1.0
AKJVOVLHKQMZDX,training_pool,1,5.57,5.57,5.57,False,False,0.0,1.0
AKKKCTSUTCPKQJ,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
AKOHKZWHPPXXGH,training_pool,1,4.19,4.19,4.19,False,False,0.0,0.0
AKYAXJLSWCRMRL,training_pool,1,5.0,5.0,5.0,False,False,0.0,1.0
ALFJCBCLDRTOBE,training_pool,1,6.51,6.51,6.51,False,False,1.0,1.0
ALIOCVRMGLGYPS,training_pool,1,6.11,6.11,6.11,False,False,1.0,1.0
ALJBUXHFWBNFHS,training_pool,1,5.98,5.98,5.98,False,False,0.0,1.0
ALKQFZOTKQRARU,training_pool,1,6.31,6.31,6.31,False,False,1.0,1.0
ALOKHRRVYXMQQV,training_pool,1,6.28,6.28,6.28,False,False,1.0,1.0
ALPCDVIZEZUXNV,training_pool,1,5.89,5.89,5.89,False,False,0.0,1.0
ALTIXRRWNZGIQY,training_pool,1,5.6,5.6,5.6,False,False,0.0,1.0
ALTRDEMZLHEPJN,training_pool,1,6.58,6.58,6.58,False,False,1.0,1.0
ALZXNELXAYKYOC,training_pool,1,5.55,5.55,5.55,False,False,0.0,1.0
AMBVARULQNIIGY,training_pool,1,5.3,5.3,5.3,False,False,0.0,1.0
AMLQEFFQZFXSJL,training_pool,1,5.84,5.84,5.84,False,False,0.0,1.0
AMPDYFMIFKVPDX,training_pool,1,6.55,6.55,6.55,False,False,1.0,1.0
AMUFWNATMQNLFU,training_pool,1,6.71,6.71,6.71,False,False,1.0,1.0
AMUHOYIQEKDLJN,training_pool,1,5.65,5.65,5.65,False,False,0.0,1.0
AMYCZNNJYIUQDT,training_pool,1,6.72,6.72,6.72,False,False,1.0,1.0
ANDOOPVMUPEKIY,training_pool,1,6.06,6.06,6.06,False,False,1.0,1.0
ANHSTOBLNKFYKO,training_pool,1,6.54,6.54,6.54,False,False,1.0,1.0
ANLQSLCMDUDROE,training_pool,1,6.28,6.28,6.28,False,False,1.0,1.0
ANMSGGQOWGFCDT,training_pool,1,5.28,5.28,5.28,False,False,0.0,1.0
ANMVAMOFGILDKL,training_pool,1,5.21,5.21,5.21,False,False,0.0,1.0
ANPZZVXVQQYMAD,training_pool,1,6.62,6.62,6.62,False,False,1.0,1.0
ANRBLZZRYMCUQR,training_pool,1,7.3,7.3,7.3,False,False,1.0,1.0
ANRYKVMKXLTRQF,training_pool,1,7.89,7.89,7.89,False,False,1.0,1.0
ANVXVUURHCLAID,training_pool,1,5.66,5.66,5.66,False,False,0.0,1.0
ANYFNAGACQKDRS,training_pool,1,4.78,4.78,4.78,False,False,0.0,0.0
ANZQYOMGKNBZOS,training_pool,1,6.22,6.22,6.22,False,False,1.0,1.0
AOAMFXGEGMMVGV,training_pool,1,7.52,7.52,7.52,False,False,1.0,1.0
AODKDQVAHNORKL,training_pool,1,6.38,6.38,6.38,False,False,1.0,1.0
AODWJSQKMSAPAO,training_pool,1,6.12,6.12,6.12,False,False,1.0,1.0
AOEPIGCBPLBJNO,training_pool,1,8.7,8.7,8.7,False,False,1.0,1.0
AOIQKSHKQIJFMK,training_pool,2,7.005,6.68,7.33,False,False,1.0,1.0
AOIRPWVDXFUMLO,training_pool,1,7.14,7.14,7.14,False,False,1.0,1.0
AORKCBGQZSCTGG,training_pool,1,5.04,5.04,5.04,False,False,0.0,1.0
AOSAIHVVLGCXQM,training_pool,1,4.92,4.92,4.92,False,False,0.0,0.0
AOWXEKJUCRUODJ,training_pool,1,4.5,4.5,4.5,False,False,0.0,0.0
AOXNXAQQOUPNLT,training_pool,1,5.44,5.44,5.44,False,False,0.0,1.0
AOZDPSPDZPRLTR,training_pool,4,6.99,6.46,7.92,False,False,1.0,1.0
APBNKLHZYXHTKZ,training_pool,1,6.84,6.84,6.84,False,False,1.0,1.0
APCWFZNDCFEDOA,training_pool,1,6.71,6.71,6.71,False,False,1.0,1.0
APIXQVBCVVGESH,training_pool,1,7.54,7.54,7.54,False,False,1.0,1.0
APOFCYAJMPJCJI,training_pool,1,4.21,4.21,4.21,False,False,0.0,0.0
APTPOHBDWBGOML,training_pool,3,6.33,5.1,7.1,True,False,,1.0
APUIWZKNZHKCFJ,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
APVNYKVQGHCAQY,training_pool,1,4.94,4.94,4.94,False,False,0.0,0.0
AQFSNKMNJNAGPT,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
AQJASLQQCCUDQH,training_pool,1,7.57,7.57,7.57,False,False,1.0,1.0
AQUAJYBKQCDFRO,training_pool,1,4.16,4.16,4.16,False,False,0.0,0.0
AQWUYXBCEWJPSQ,training_pool,1,6.96,6.96,6.96,False,False,1.0,1.0
AQYNYSMSLUBEKD,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
ARBNKJFPDYRWBW,training_pool,1,5.8,5.8,5.8,False,False,0.0,1.0
ARDUNDMCGGZTSG,training_pool,1,5.88,5.88,5.88,False,False,0.0,1.0
ARHJMINBTFKHQC,training_pool,1,7.47,7.47,7.47,False,False,1.0,1.0
ARIGBKUEKSXFAD,training_pool,1,6.19,6.19,6.19,False,False,1.0,1.0
ARRVMXXJRVPCAR,training_pool,1,4.6,4.6,4.6,False,False,0.0,0.0
ASHXWIUUTZEVNP,training_pool,1,6.0,6.0,6.0,False,False,1.0,1.0
ASIYVOPISGLSFB,training_pool,1,6.25,6.25,6.25,False,False,1.0,1.0
ASRZEXHEXSQIBP,training_pool,2,7.125,6.03,8.22,False,False,1.0,1.0
ASSTVEILTHMGDM,training_pool,1,4.41,4.41,4.41,False,False,0.0,0.0
ASYAAYMGNJCTGE,training_pool,1,5.21,5.21,5.21,False,False,0.0,1.0
ATBQBNKWWGOEFJ,training_pool,1,5.0,5.0,5.0,False,False,0.0,1.0
ATGNWRJVESLUOP,training_pool,1,7.68,7.68,7.68,False,False,1.0,1.0
ATKFBNRLKAPCDM,training_pool,1,6.3,6.3,6.3,False,False,1.0,1.0
AUDIKJKYMGBIIN,training_pool,1,7.25,7.25,7.25,False,False,1.0,1.0
AUECZLRBMFZTBC,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
AUPRUOFANHNPGO,training_pool,1,5.0,5.0,5.0,False,False,0.0,1.0
AUYHSCSTFPNUBB,training_pool,1,4.96,4.96,4.96,False,False,0.0,0.0
AVACRGXQKYUNIL,training_pool,1,5.8,5.8,5.8,False,False,0.0,1.0
AVFSLFVPCVAWQW,training_pool,1,4.79,4.79,4.79,False,False,0.0,0.0
AVIBDSHVTBXTQH,training_pool,1,5.61,5.61,5.61,False,False,0.0,1.0
AVJLXHVXNYOEDW,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
AVNMYMWVNAHMGX,training_pool,1,6.34,6.34,6.34,False,False,1.0,1.0
AVTAZMNGLZBENC,training_pool,1,4.46,4.46,4.46,False,False,0.0,0.0
AVUUCASFFDRBJI,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
AVVPCNMYPYKBKY,training_pool,1,7.3,7.3,7.3,False,False,1.0,1.0
AWHIFRWLVDBHFT,training_pool,1,6.3,6.3,6.3,False,False,1.0,1.0
AWXIYEGJBOAMER,training_pool,1,6.62,6.62,6.62,False,False,1.0,1.0
AWZVURPPTJEOGX,training_pool,1,6.62,6.62,6.62,False,False,1.0,1.0
AWZXUSWFUZCXCK,training_pool,1,7.44,7.44,7.44,False,False,1.0,1.0
AXLIJRCKRUPBPQ,training_pool,3,6.82,6.54,7.0,False,False,1.0,1.0
AXMMOBNDPFRHNF,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
AXRBUGMLYYRUEI,training_pool,1,5.31,5.31,5.31,False,False,0.0,1.0
AYFLFDUHWDKMBP,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
AYKDMPODBQYOKS,training_pool,2,5.4,5.22,5.58,False,False,0.0,1.0
AYQUHXGKRPAEEJ,training_pool,1,5.59,5.59,5.59,False,False,0.0,1.0
AYRBSPDGGWQHTI,training_pool,1,5.1,5.1,5.1,False,False,0.0,1.0
AYSHGUSXVQWYKC,training_pool,1,5.08,5.08,5.08,False,False,0.0,1.0
AYUOAFKKDJKRFJ,training_pool,1,7.0,7.0,7.0,False,False,1.0,1.0
AYVOAOGOGQOXHM,training_pool,1,4.8,4.8,4.8,False,False,0.0,0.0
AYXIMYXGBUQQHM,training_pool,1,6.18,6.18,6.18,False,False,1.0,1.0
AZARHELIPHKHED,training_pool,1,6.75,6.75,6.75,False,False,1.0,1.0
AZBVBXATZZJLBI,training_pool,1,6.89,6.89,6.89,False,False,1.0,1.0
AZESPIYPJKXODV,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
AZKMQCYBPYQCCN,training_pool,1,4.68,4.68,4.68,False,False,0.0,0.0
AZLGXVPIUFTROL,training_pool,1,7.43,7.43,7.43,False,False,1.0,1.0
AZLKNWBUFPHJFW,training_pool,1,5.92,5.92,5.92,False,False,0.0,1.0
AZQDMWIESRGIRB,training_pool,1,7.0,7.0,7.0,False,False,1.0,1.0
AZRQUVUEZZPGNQ,training_pool,1,5.99,5.99,5.99,False,False,0.0,1.0
AZYYTQZIXMYIPW,training_pool,1,4.57,4.57,4.57,False,False,0.0,0.0
BAFQKIMZHWNCRK,training_pool,1,5.35,5.35,5.35,False,False,0.0,1.0
BAGQCKHLLJCYPC,training_pool,1,4.42,4.42,4.42,False,False,0.0,0.0
BALBNZIEZPXHTF,training_pool,1,4.02,4.02,4.02,False,False,0.0,0.0
BAPPNNLRYSTWQE,training_pool,1,6.66,6.66,6.66,False,False,1.0,1.0
BARPDUKYWMOMPZ,training_pool,1,5.32,5.32,5.32,False,False,0.0,1.0
BAWFHMGCKIAVEL,training_pool,1,5.1,5.1,5.1,False,False,0.0,1.0
BBAILVZDJDRAJL,training_pool,1,5.76,5.76,5.76,False,False,0.0,1.0
BBJOWFOCZPEQNE,training_pool,1,6.96,6.96,6.96,False,False,1.0,1.0
BBOGYKPAKFQZFU,training_pool,1,8.0,8.0,8.0,False,False,1.0,1.0
BBOHPBJORQIKDS,training_pool,1,7.19,7.19,7.19,False,False,1.0,1.0
BBVRYNOHSCGZRP,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
BBXPRSWJSKBFHL,training_pool,1,5.37,5.37,5.37,False,False,0.0,1.0
BBYSLDLSLKRDFY,training_pool,1,5.25,5.25,5.25,False,False,0.0,1.0
BCCOIZYTFXGEGZ,training_pool,1,6.52,6.52,6.52,False,False,1.0,1.0
BCCOUKNUZJZEKP,training_pool,1,6.66,6.66,6.66,False,False,1.0,1.0
BCEWKCNPPLQLLR,training_pool,1,5.57,5.57,5.57,False,False,0.0,1.0
BCKFRHIUIGWJAH,training_pool,1,5.45,5.45,5.45,False,False,0.0,1.0
BCOJMFULALPVPN,training_pool,1,5.88,5.88,5.88,False,False,0.0,1.0
BCRQTNOYBAWCDF,training_pool,1,6.43,6.43,6.43,False,False,1.0,1.0
BCTBMFSBWYHUIJ,training_pool,1,6.58,6.58,6.58,False,False,1.0,1.0
BDMVMSIBZHEYKJ,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
BDZJVRRTBORZMN,training_pool,1,6.96,6.96,6.96,False,False,1.0,1.0
BEAMWMXOENPANF,training_pool,1,9.0,9.0,9.0,False,False,1.0,1.0
BEBUXPXGISJGLB,training_pool,1,5.83,5.83,5.83,False,False,0.0,1.0
BEFLZFMWSIYTNW,training_pool,1,6.6,6.6,6.6,False,False,1.0,1.0
BELOOOVTNYOWCO,training_pool,1,4.98,4.98,4.98,False,False,0.0,0.0
BENNDTBUIUJRDT,training_pool,1,6.42,6.42,6.42,False,False,1.0,1.0
BEOGCILHKFFOIQ,training_pool,1,8.0,8.0,8.0,False,False,1.0,1.0
BEPDFRPSNCPHCP,training_pool,1,7.16,7.16,7.16,False,False,1.0,1.0
BEYCMKKZKNBLNT,training_pool,1,5.3,5.3,5.3,False,False,0.0,1.0
BFIOZWKECDHGTG,training_pool,1,4.78,4.78,4.78,False,False,0.0,0.0
BFMZEGLJNQXWAI,training_pool,1,6.85,6.85,6.85,False,False,1.0,1.0
BFOYJWCMKXLIPF,training_pool,1,6.96,6.96,6.96,False,False,1.0,1.0
BFSKPRUNBBMNCF,training_pool,1,6.1,6.1,6.1,False,False,1.0,1.0
BFTIOLJSMRDAPY,training_pool,1,7.77,7.77,7.77,False,False,1.0,1.0
BFYAJFVJEOCYNB,training_pool,1,4.7,4.7,4.7,False,False,0.0,0.0
BGHFCHXCWWBAAP,training_pool,1,5.61,5.61,5.61,False,False,0.0,1.0
BGJCSBGDLULOSI,training_pool,1,6.5,6.5,6.5,False,False,1.0,1.0
BGRMBRVQUPSOJL,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
BHAFHAMADYHYPJ,training_pool,3,7.92,6.69,8.7,False,False,1.0,1.0
BHEGXSNCDUBUFA,training_pool,1,5.24,5.24,5.24,False,False,0.0,1.0
BHHFSNCTZVVISM,training_pool,1,5.17,5.17,5.17,False,False,0.0,1.0
BHIVIHRHGXYLSI,training_pool,1,4.6,4.6,4.6,False,False,0.0,0.0
BHMJOOIJDGJQIL,training_pool,1,8.04,8.04,8.04,False,False,1.0,1.0
BHVXETHPFFMEKT,training_pool,1,4.51,4.51,4.51,False,False,0.0,0.0
BIKVSCVPZGXPRO,training_pool,1,8.3,8.3,8.3,False,False,1.0,1.0
BILMCBQAMUKVRN,training_pool,1,5.22,5.22,5.22,False,False,0.0,1.0
BIOCOYIPJQMGTN,training_pool,1,5.54,5.54,5.54,False,False,0.0,1.0
BIRLOYXSRCPMQG,training_pool,1,6.82,6.82,6.82,False,False,1.0,1.0
BIVPQGZBRWLZLD,training_pool,1,6.35,6.35,6.35,False,False,1.0,1.0
BIXWNJAOOLPDOM,training_pool,1,7.4,7.4,7.4,False,False,1.0,1.0
BJADJOFIXMFPRE,training_pool,1,5.95,5.95,5.95,False,False,0.0,1.0
BJBKMIXLHYBCCH,training_pool,2,5.755,5.49,6.02,False,False,0.0,1.0
BJNKRYAVNXGRPH,training_pool,1,6.85,6.85,6.85,False,False,1.0,1.0
BJSHRSBHYAVRGG,training_pool,1,6.39,6.39,6.39,False,False,1.0,1.0
BJWAGVYCSKOVJN,training_pool,1,4.06,4.06,4.06,False,False,0.0,0.0
BKAIDULGUXNMAB,training_pool,2,6.33,6.18,6.48,False,False,1.0,1.0
BKFJGWJMNRLCOI,training_pool,1,7.58,7.58,7.58,False,False,1.0,1.0
BKFURPOUIAFQSU,training_pool,1,7.27,7.27,7.27,False,False,1.0,1.0
BKUUEWCEULMOMM,training_pool,1,5.64,5.64,5.64,False,False,0.0,1.0
BKVFZJIRCUBYGE,training_pool,2,8.3,8.3,8.3,False,False,1.0,1.0
BKWKWSHLVUXNEE,training_pool,1,6.47,6.47,6.47,False,False,1.0,1.0
BKXPOAJAUMGKHD,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
BKZPDMSMFWCHPI,training_pool,1,5.65,5.65,5.65,False,False,0.0,1.0
BLBVOPKWOIXAFD,training_pool,1,6.52,6.52,6.52,False,False,1.0,1.0
BLHFRERRAVRFPX,training_pool,1,6.09,6.09,6.09,False,False,1.0,1.0
BLHPNIMFDNZQBZ,training_pool,1,6.0,6.0,6.0,False,False,1.0,1.0
BLIMAHXYOZZLTM,training_pool,1,6.94,6.94,6.94,False,False,1.0,1.0
BLWUGBBTQAMBMB,training_pool,1,6.38,6.38,6.38,False,False,1.0,1.0
BMEVSHZHBKJEQI,training_pool,2,6.16,4.93,7.39,True,True,,
BMGAUIUJEJQJTO,training_pool,1,5.35,5.35,5.35,False,False,0.0,1.0
BMIPCEAXHCNRNV,training_pool,1,6.04,6.04,6.04,False,False,1.0,1.0
BMKMNIYHCFBKMM,training_pool,1,6.51,6.51,6.51,False,False,1.0,1.0
BMLSVSXCXUNNCV,training_pool,1,7.44,7.44,7.44,False,False,1.0,1.0
BMSVTUXQNZVYTR,training_pool,1,7.32,7.32,7.32,False,False,1.0,1.0
BMXYLFDEBQVEJR,training_pool,1,4.58,4.58,4.58,False,False,0.0,0.0
BMYKGYMFFKYRJH,training_pool,1,6.17,6.17,6.17,False,False,1.0,1.0
BNBDZFFKPLLERD,training_pool,2,6.85,6.85,6.85,False,False,1.0,1.0
BNBRVZAGWCMHBD,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
BNCFCRFSSOMQLQ,training_pool,1,6.08,6.08,6.08,False,False,1.0,1.0
BNDJAGQGLAJXIC,training_pool,1,6.72,6.72,6.72,False,False,1.0,1.0
BNJPDXSGSITYAN,training_pool,1,8.82,8.82,8.82,False,False,1.0,1.0
BNJWNHYPOPYQIR,training_pool,1,7.04,7.04,7.04,False,False,1.0,1.0
BNQPICHOIGSHMZ,training_pool,1,5.08,5.08,5.08,False,False,0.0,1.0
BNTGOEPCMBIMOT,training_pool,2,5.605,5.11,6.1,False,False,0.0,1.0
BNUXJVKPXAHDQQ,training_pool,1,6.0,6.0,6.0,False,False,1.0,1.0
BNXWLNCRSLYPFG,training_pool,1,6.75,6.75,6.75,False,False,1.0,1.0
BOEJXBGCXOGVPM,training_pool,1,8.7,8.7,8.7,False,False,1.0,1.0
BOELSUOFWDLBDO,training_pool,1,6.34,6.34,6.34,False,False,1.0,1.0
BOHHOPFWAXMTPH,training_pool,1,6.55,6.55,6.55,False,False,1.0,1.0
BOSZYMVYZMPZSQ,training_pool,1,5.21,5.21,5.21,False,False,0.0,1.0
BOYUPSDAYQVTDE,training_pool,1,4.75,4.75,4.75,False,False,0.0,0.0
BPBXWKXAXVVZAH,training_pool,1,6.06,6.06,6.06,False,False,1.0,1.0
BPEWTNBEERMQHK,training_pool,1,5.92,5.92,5.92,False,False,0.0,1.0
BPJJUNOJJPFGCB,training_pool,1,4.86,4.86,4.86,False,False,0.0,0.0
BPLKICTZHXZIOZ,training_pool,1,6.89,6.89,6.89,False,False,1.0,1.0
BPMWHRGUWKLDJO,training_pool,1,7.5,7.5,7.5,False,False,1.0,1.0
BPNCIVZQFUIDBP,training_pool,1,6.04,6.04,6.04,False,False,1.0,1.0
BPPAIAOYYMOYRE,training_pool,1,6.21,6.21,6.21,False,False,1.0,1.0
BPPJICARWSVVER,training_pool,1,8.3,8.3,8.3,False,False,1.0,1.0
BPTNUDPRRBPHRO,training_pool,1,5.7,5.7,5.7,False,False,0.0,1.0
BPYFANKHPVYYMS,training_pool,1,6.96,6.96,6.96,False,False,1.0,1.0
BQAMONBAWGMQHW,training_pool,1,6.72,6.72,6.72,False,False,1.0,1.0
BQEAMLGUNLZLPY,training_pool,1,6.66,6.66,6.66,False,False,1.0,1.0
BQJIFVOOSUPULW,training_pool,1,5.85,5.85,5.85,False,False,0.0,1.0
BQOBNNLKPBBCGJ,training_pool,1,5.92,5.92,5.92,False,False,0.0,1.0
BQOCVAMTPQJBSF,training_pool,1,4.29,4.29,4.29,False,False,0.0,0.0
BQQUXECVVCRHDK,training_pool,1,6.28,6.28,6.28,False,False,1.0,1.0
BQQVMMHEBLDZBH,training_pool,2,5.779999999999999,5.51,6.05,False,False,0.0,1.0
BQSITNTVRUSOMI,training_pool,1,4.89,4.89,4.89,False,False,0.0,0.0
BQUFVNCYDJQTBE,training_pool,4,7.6850000000000005,6.7,7.84,False,False,1.0,1.0
BQZCIPSDARTPJF,training_pool,1,6.79,6.79,6.79,False,False,1.0,1.0
BREBAPWKZBSKLD,training_pool,1,5.37,5.37,5.37,False,False,0.0,1.0
BRJRJWOWPFJJDT,training_pool,1,4.82,4.82,4.82,False,False,0.0,0.0
BRKACCZUYVTYIY,training_pool,1,5.96,5.96,5.96,False,False,0.0,1.0
BRKXUMURIRIUAZ,training_pool,1,6.2,6.2,6.2,False,False,1.0,1.0
BRNGPEPQEIASBP,training_pool,1,6.7,6.7,6.7,False,False,1.0,1.0
BRPQEBINRWIUOF,training_pool,1,6.6,6.6,6.6,False,False,1.0,1.0
BRWDKJBTMKFKLU,training_pool,1,7.77,7.77,7.77,False,False,1.0,1.0
BRWIZMBXBAOCCF,training_pool,1,10.05,10.05,10.05,False,False,1.0,1.0
BSBRFVFAOXGWNY,training_pool,1,5.03,5.03,5.03,False,False,0.0,1.0
BSIVILSRVBLGQR,training_pool,1,5.47,5.47,5.47,False,False,0.0,1.0
BSLAOCJVMOGUKX,training_pool,1,5.37,5.37,5.37,False,False,0.0,1.0
BSQJYQPWHDYDFX,training_pool,1,5.84,5.84,5.84,False,False,0.0,1.0
BSQXOIRSDOEJKK,training_pool,1,6.28,6.28,6.28,False,False,1.0,1.0
